[ 2013-01-17T10:17:00+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-17T10:17:01+08:00 ] /lost&found/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001836s ]
[ 2013-01-17T10:17:01+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012349s ]
[ 2013-01-17T10:18:29+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-17T10:18:29+08:00 ] /lost&found/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000835s ]
[ 2013-01-17T10:18:29+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000964s ]
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | ERR: (ThinkException) 模板不存在[G:/wamp/www/lost&found/Tpl/Index/index.html]
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001214s ]
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001395s ]
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | INFO: Tag[ view_template ] --START--
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2013-01-17T10:36:48+08:00 ] /lost&found/ | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000601s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000718s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ view_template ] --START--
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000702s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000810s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ view_parse ] --START--
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Run ParseTemplate Behavior [ RunTime:0.065250s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.065373s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ view_filter ] --START--
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Run ContentReplace Behavior [ RunTime:0.001064s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Run TokenBuild Behavior [ RunTime:0.000974s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.019366s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001076s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022771s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ view_end ] --START--
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000954s ]
[ 2013-01-17T10:37:50+08:00 ] /lost&found/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001045s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000742s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000877s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ view_template ] --START--
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Run LocationTemplate Behavior [ RunTime:0.027542s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.027665s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ view_parse ] --START--
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Run ParseTemplate Behavior [ RunTime:0.028485s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028595s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ view_filter ] --START--
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Run ContentReplace Behavior [ RunTime:0.015429s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Run TokenBuild Behavior [ RunTime:0.001750s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.010538s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Run ShowRuntime Behavior [ RunTime:0.240801s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.268986s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ view_end ] --START--
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001533s ]
[ 2013-01-17T10:58:36+08:00 ] /lost&found/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001680s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000818s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000979s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Tag[ view_template ] --START--
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000427s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000534s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Tag[ view_parse ] --START--
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008232s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008387s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Tag[ view_filter ] --START--
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Run ContentReplace Behavior [ RunTime:0.000621s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Run TokenBuild Behavior [ RunTime:0.000668s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000321s ]
[ 2013-01-17T10:58:51+08:00 ] /lost&found/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000543s ]
